"dep_var","estimate","std.error","p.value","conf.low","conf.high"
"child_manners",-0.00696477505334621,0.00232981997695733,0.00400381479504088,-0.0116220188270993,-0.00230753127959314
"child_independence",0.0109391776451582,0.00185813753950568,1.72565295844433e-07,0.00722481362895589,0.0146535416613606
"child_hard_work",-0.0088989699651087,0.00228644281522637,0.000245542974497969,-0.0134695040280718,-0.00432843590214557
"child_responsibility",0.014180165307407,0.00153878062914878,3.1831156317306e-13,0.0111041866587759,0.0172561439560381
"child_imagination",0.008570242663634,0.00225853875081146,0.000338278277273366,0.00405548803064574,0.0130849972966223
"child_tolerance",0.0113901533626711,0.00198158097771555,2.95517129314213e-07,0.00742902942952256,0.0153512772958196
"child_thrift",-0.00696179333175438,0.00210570854671971,0.00157609789737624,-0.0111710447398208,-0.00275254192368794
"child_perseverance",0.0172952278505045,0.00275105803522942,3.62558313631816e-08,0.0117959411963751,0.0227945145046339
"child_faith",-0.00289115989911029,0.00198601149833961,0.150503671724259,-0.00686114031679196,0.00107882051857138
"child_unselfish",0.00587767884301068,0.00205520943089689,0.00576721280405157,0.00176937372910942,0.00998598395691194
"child_obedience",-0.0141345432472435,0.00169088109440037,9.4390361470822e-12,-0.01751456639364,-0.0107545201008469
